validator;bees;plants
JM;Bombus bohemicus/vestalis;Beinwell
SO;Bombus campestris;blau
LK;Bombus hortorum;blaulila
Test;Bombus hortorum agg.;blaurosa
;Bombus hypnorum;blauviolett
;Bombus lapidarius;blauweiß
;Bombus lucorum;Blutweiderich
;Bombus lucorum agg.;Borretsch
;Bombus muscorum;Brombeere
;Bombus pascuorum;Cosmea weiß
;Bombus pascuorum agg.;Dahlie rot
;Bombus pratorum;Distel pink
;Bombus rupestris;Distel weiß
;Bombus spec.;Dost
;Bombus sylvarum;Eisenkraut
;Bombus sylvarum/veteranus;Fetthenne pink
;Bombus sylvestris;Fingerhut
;Bombus sylvestris/norvegicus;Flockenblume 
;Bombus terrestris;Flockenblume lila
;Bombus vestalis;Flockenblume pink
;Bombus vestalis/bohemicus;Flockenblume rosa
;Bombus veteranus;Flockenblume violett
;Fliege;Gamander grüngelb
;;gelb
;;gelbrot
;;Glockenblume
;;Glockenblume blau
;;Glockenblume weiß
;;Golddistel
;;grün
;;Greiskraut
;;Gurke/Kürbis
;;hellblau
;;hellgelb
;;hellrosa
;;Hibiskus 
;;Hibiskus pink
;;Hibiskus rosa
;;Hohlzahn weiß
;;Hornklee
;;Hortensie weiß
;;Jakobskreuzkraut
;;Johanniskraut
;;Königskerze
;;Kapuzinerkresse rot
;;Katzenminze
;;Klette pink
;;Klette pink/ violett
;;Knautie pink
;;Kornblume
;;Kornblume weiß
;;Kugeldistel
;;Kugeldistel 
;;Löwenzahn
;;Lathyrus pink
;;Lauch
;;Lauch pink
;;Lauch weiß
;;Lavendel blau
;;Lavendel weiß
;;Leinkraut gelb
;;lila
;;lila, weiß
;;lilablau 
;;Linde
;;Minze rosa
;;Mohn
;;Natternkopf
;;orange
;;Phacelia
;;pink
;;pink/rot
;;Platterbse pink
;;Rainfarn
;;rosa
;;rot
;;Rotklee
;;rotweiß
;;Schmalblättriges Weidenröschen
;;Sommerflieder 
;;Sommerflieder blauviolett
;;Sommerflieder lila
;;Sommerflieder pink
;;Sommerflieder violett
;;Sommerflieder weiß
;;Sonchus
;;Sonnenblume
;;Sonnenblume rot
;;Sonnenhut 
;;Sonnenhut gelb
;;Sonnenhut pink
;;Sonnenhut rot
;;Sonnenhut weiß
;;Spiere pink
;;Steinklee
;;Stockrose tiefrot
;;Storchschnabel blau
;;Storchschnabel violett
;;Sumpfkratzdistel
;;Tagetes gelb
;;Taubnessel weiß
;;Tomate/Paprika
;;violett
;;Violett + weiß
;;Wandelröschen
;;Wasserdost
;;Wegwarte
;;weiß
;;weißgelb
;;Weißklee
;;weißpink
;;weißrot
;;Weidenrößschen
;;Wicke
;;Wiesen-Bärenklau
;;Wilde Karde
;;Winde rosa
;;Witwenblume
;;Wollziest
;;Ysop
;;Zaunwinde
;;Ziest 
;;Ziest pink
